Компания,Отрасль,Сайт,Целевая роль,ЛПР,Телефоны,Emails,Соцсети,Приоритет,Статус
БелГарантОценка,Профессиональные услуги / финансы,https://bgocenka.by,Управляющий партнёр / директор,,+375 17 235-83-81; +375 29 780-79-47; +375 44 580-79-41,info@bgocenka.by,,B,собран
Инновационный консалтинг,Профессиональные услуги / финансы,https://inkons.by,Управляющий партнёр / директор,,+375 17 392-98-46; +375 17 207-13-42; +375 29 779-07-90; +375 44 776-07-47,info@inkons.by,,B,собран
Даксин Глобал Бел,Профессиональные услуги / финансы,https://daxin.by,Управляющий партнёр / директор,Партнёр и директор по аудиту — Евдокимович А.А.,+375 17 388-09-49; +375 17 388-09-48; +375 17 388-09-40,info@daxin.by,,B,собран
АСБ Брокер,Профессиональные услуги / финансы,https://asbbroker.by,Управляющий партнёр / директор,Директор — Санкович В.С.,+375 17 200-33-42; +375 17 200-43-27; +375 44 500-43-27; +375 17 200-58-13; +375 29 680-58-13,broker@asb.by,,B,собран
Zubr Capital,Профессиональные услуги / финансы,https://zubrcapital.com,Управляющий партнёр / директор,Генеральный директор — Хусаенов О.; Управляющий партнёр — Шестак Н.,+375 17 218-99-23,info@zubrcapital.com,,B,собран
Институт Бизнес-Технологий,Профессиональные услуги / финансы,https://ib-t.by,Управляющий партнёр / директор,Директор — Кветко Д.В.,+375 29 344-58-88; +375 29 551-28-88; +375 25 760-68-88; +375 17 328-54-72; +375 29 762-07-07; +375 25 696-06-80,,,B,частично
Древо знаний,Профессиональные услуги / финансы,https://uchi.by,Управляющий партнёр / директор,,+375 29 549-01-01; +375 44 549-01-01; +375 25 549-01-01,dz@uchi.by,,B,собран
Экономические споры,Профессиональные услуги / финансы,https://e-sud.by,Управляющий партнёр / директор,Директор — Белявский С.Ч.,+375 29 268-88-21; +375 152 55-38-88; +375 152 55-48-88,info@e-sud.by,,B,собран
ЮРИДЭКС,Профессиональные услуги / финансы,https://jurisprudent.by,Управляющий партнёр / директор,Руководитель — Зазерская С.А.,+375 17 374-40-60; +375 29 550-01-01; +375 44 755-01-01; +375 29 365-16-51; +375 29 231-61-61,info@jurisprudent.by,,B,собран
Аврора Групп,Профессиональные услуги / финансы,https://avrora-group.by,Управляющий партнёр / директор,,+375 17 235-20-57; +375 29 632-27-20,mail@avrora-group.by,,B,собран
HR-агентство Кадр,Профессиональные услуги / финансы,https://hrbel.by,Управляющий партнёр / директор,,+375 44 557-20-20,info@hrbel.by,,B,собран
Сеть кофеен Paragraph,HoReCa,paragraph.by,Операционный директор,Директор — Демидович К.; Директор по развитию — Човган Д.,+375 29 250-66-67; +375 33 647-97-44; +375 29 640-75-75; +375 17 388-46-14,office@paragraph.by,,B,собран
Burger King Беларусь,HoReCa,burger-king.by,Операционный директор,,7566,,,B,частично
Ресторан Кухмистр,HoReCa,kuhmistr.by,директор,,+375 29 119-49-00,best@kuhmistr.by,,B,собран
Ресторан белорусской кухни Литвины,HoReCa,litviny.by,директор,Основатель сети — Хрусталёв К.,+375 44 519-11-11; +375 44 557-11-11; +375 29 119-34-34,,,B,частично
Сеть кофеен CoffeeCake,HoReCa,coffeecake.by,Операционный директор,,+375 29 644-03-21,,,B,частично
Ресторан-клуб Гудвин,HoReCa,gudvin.relax.by,директор,,+375 29 555-05-05,,,B,частично
Гостиница Минск,HoReCa,hotelminsk.by,Операционный директор,Директор — Ковалёва И.Е.,+375 17 209-90-62; +375 17 209-90-74; +375 17 209-90-78; +375 17 209-90-80,reservation@hotelminsk.by; reception@hotelminsk.by,,B,собран
Президент-Отель,HoReCa,president-hotel.by,Операционный директор,Директор — Подоматько А.,+375 17 229-70-00; +375 17 229-70-03; +375 17 229-70-10; +375 44 774-77-01,info@president-hotel.by,,B,собран
Crowne Plaza Minsk,HoReCa,cpminsk.com,Операционный директор,,+375 17 218-34-00; +375 17 218-34-40; +375 29 306-93-94,info@cpminsk.com; sales@cpminsk.com,,B,собран
Гостиница Беларусь,HoReCa,hotel-belarus.com,Операционный директор,Генеральный директор — Дмуховская И.,+375 17 209-71-06; +375 17 209-71-01; +375 29 198-04-70; +375 17 209-71-62,info@belarus-hotel.by,,B,собран
Виктория Олимп Отель,HoReCa,olimphotel.by,Операционный директор,Директор сети отелей Виктория — Дмуховская И.О.,+375 17 308-75-77; +375 17 308-77-77; +375 17 308-79-90; +375 17 308-79-99,reservation@olimphotel.by; banquet@olimphotel.by; sales@olimphotel.by,,B,собран
Отель Robinson-City,HoReCa,robinson-city.by,Операционный директор,,+375 29 141-33-33; +375 17 322-23-22; +375 29 121-77-77; +375 17 322-22-20; +375 29 161-44-44,reservation@robinson-city.by; reception@robinson-city.by; restoran@robinson-city.by,,B,собран
Санаторий Сосны,HoReCa,sosny.by,Операционный директор,Директор — Герасимович А.Е.,+375 44 512-06-00,,,B,частично
Белагроздравница,медицина,agrozdrav.by,директор,Генеральный директор — Радоман В.Н.; Заместитель генерального директора — Пономарёв В.А.,+375 17 242-22-42; +375 17 242-52-52; +375 17 298-54-00; +375 44 704-94-01,info@agrozdrav.by; broni@agrozdrav.by,,B,собран
Белпрофсоюзкурорт,медицина,kurort.by,директор,Генеральный директор — Матюкевич Н.В.,+375 17 203-94-79; +375 17 203-96-61; +375 17 352-96-61; +375 29 329-09-09,info@kurort.by; marketing@kurort.by,,B,собран
Медицинский центр Аква-Минск,медицина,aquaminskclinic.by,директор,Генеральный директор — Шаврун Д.С.,+375 17 330-13-01; +375 17 330-13-20; 7776,info@aquaminskclinic.by,,B,собран
Клиника EVACLINIC,медицина,evaclinic.by,директор,Основатель и совладелец — Пекуров А.,+375 17 302-00-00; +375 17 321-00-00; 409,,,B,частично
